Product ID,Product Name,Supplier,Warehouse Location,Demand Forecast,Inventory Level,Lead Time (Days),Transportation Cost ($),Order Quantity,Delivery Time (Days)
P0001,Product_1,Supplier A,Los Angeles,6131,3906,4,482.54,270,9
P0002,Product_2,Supplier B,New York,4796,3799,10,201.54,878,14
P0003,Product_3,Supplier C,Los Angeles,7408,1329,12,258.76,371,1
P0004,Product_4,Supplier B,Houston,2935,3213,27,87.17,918,10
P0005,Product_5,Supplier B,Chicago,2758,528,10,91.24,165,5
P0006,Product_6,Supplier D,New York,9311,3953,29,361.77,953,9
P0007,Product_7,Supplier C,Miami,7792,4184,3,88.26,629,5
P0008,Product_8,Supplier D,Chicago,3049,3008,11,449.08,805,14
P0009,Product_9,Supplier D,Houston,9602,4107,11,159.26,318,1
P0010,Product_10,Supplier A,Chicago,2951,2349,11,456.52,705,11
P0011,Product_11,Supplier A,New York,6258,2352,13,450.49,215,6
P0012,Product_12,Supplier C,Los Angeles,5342,1805,27,464.84,532,1
P0013,Product_13,Supplier B,Houston,3663,2974,21,432.38,412,8
P0014,Product_14,Supplier B,Chicago,3163,3812,27,136.07,144,10
P0015,Product_15,Supplier B,Houston,2009,3657,25,312.59,438,10
P0016,Product_16,Supplier D,Los Angeles,9916,806,8,57.98,870,1
P0017,Product_17,Supplier C,Houston,7062,1964,27,356.21,961,12
P0018,Product_18,Supplier B,Houston,6666,2678,3,398.29,123,3
P0019,Product_19,Supplier D,Houston,7117,3837,9,350.53,381,3
P0020,Product_20,Supplier A,Miami,7063,3826,28,436.51,71,3
P0021,Product_21,Supplier A,New York,3910,3905,24,254.3,822,11
P0022,Product_22,Supplier D,Los Angeles,3925,1563,20,482.97,468,5
P0023,Product_23,Supplier D,Los Angeles,9223,4136,20,495.83,742,11
P0024,Product_24,Supplier D,Los Angeles,9221,2542,24,185.87,156,6
P0025,Product_25,Supplier A,Los Angeles,9729,4373,18,459.09,568,4
P0026,Product_26,Supplier A,Los Angeles,8777,1036,6,111.55,923,11
P0027,Product_27,Supplier D,Miami,4376,1013,10,92.51,354,13
P0028,Product_28,Supplier D,Houston,7749,643,7,161.82,753,5
P0029,Product_29,Supplier A,Chicago,8567,2806,28,302.27,127,9
P0030,Product_30,Supplier C,Miami,9953,1157,30,385.82,477,7
P0031,Product_31,Supplier B,Houston,4769,2726,9,288.89,807,12
P0032,Product_32,Supplier A,Miami,2386,4872,14,467.87,516,8
P0033,Product_33,Supplier B,Chicago,8130,4800,29,382.59,498,2
P0034,Product_34,Supplier A,New York,5134,3558,15,81.77,494,3
P0035,Product_35,Supplier B,Houston,754,4942,21,88.66,703,2
P0036,Product_36,Supplier C,New York,9214,713,14,421.36,572,2
P0037,Product_37,Supplier D,Chicago,4114,1583,12,402.27,201,11
P0038,Product_38,Supplier B,New York,6958,3722,4,328.79,400,15
P0039,Product_39,Supplier D,Miami,4224,3580,19,86.82,760,3
P0040,Product_40,Supplier B,Chicago,8174,883,4,394.09,901,1
P0041,Product_41,Supplier A,Los Angeles,7346,735,5,191.03,209,13
P0042,Product_42,Supplier C,Houston,7701,3236,29,371.91,380,2
P0043,Product_43,Supplier C,Los Angeles,5565,333,16,75.61,980,10
P0044,Product_44,Supplier D,Miami,8018,3850,22,130.44,243,2
P0045,Product_45,Supplier B,Houston,6895,1955,7,361.54,133,3
P0046,Product_46,Supplier B,Chicago,6526,3891,15,79.46,478,13
P0047,Product_47,Supplier A,Houston,5008,1539,11,219.53,241,15
P0048,Product_48,Supplier C,Miami,1488,1439,27,228.19,720,8
P0049,Product_49,Supplier C,New York,5101,3898,16,469.76,805,4
P0050,Product_50,Supplier D,Chicago,3360,4016,12,335.69,695,9
P0051,Product_51,Supplier D,New York,8778,1282,2,220.42,70,3
P0052,Product_52,Supplier C,New York,5437,989,17,239.01,93,9
P0053,Product_53,Supplier C,Chicago,6242,2097,21,143.19,598,13
P0054,Product_54,Supplier D,Houston,4638,997,9,430.82,186,6
P0055,Product_55,Supplier D,Houston,8908,3271,11,287.7,385,13
P0056,Product_56,Supplier A,Chicago,1974,459,26,368.14,149,2
P0057,Product_57,Supplier D,Houston,1518,1691,9,375.85,273,13
P0058,Product_58,Supplier D,Miami,7183,966,29,249.69,940,10
P0059,Product_59,Supplier A,Los Angeles,489,2966,3,421.12,980,12
P0060,Product_60,Supplier B,Miami,4457,2299,11,300.2,157,14
P0061,Product_61,Supplier B,Los Angeles,541,759,12,99.96,711,15
P0062,Product_62,Supplier C,Chicago,3374,3265,18,424.54,144,3
P0063,Product_63,Supplier B,Chicago,4043,4932,26,263.49,829,10
P0064,Product_64,Supplier A,Houston,7549,1600,30,170.3,588,7
P0065,Product_65,Supplier D,New York,1457,263,19,481.83,421,14
P0066,Product_66,Supplier B,Chicago,8923,2162,2,369.25,142,9
P0067,Product_67,Supplier B,Miami,2713,1215,22,455.36,410,15
P0068,Product_68,Supplier A,New York,4374,4295,16,302.87,165,2
P0069,Product_69,Supplier C,Chicago,1621,1637,2,417.9,946,6
P0070,Product_70,Supplier A,New York,9630,4430,30,446.66,250,4
P0071,Product_71,Supplier C,Miami,8837,3345,11,325.2,867,10
P0072,Product_72,Supplier B,New York,7292,3781,9,231.82,431,7
P0073,Product_73,Supplier B,Chicago,8404,4619,26,308.7,786,1
P0074,Product_74,Supplier A,Miami,4493,2883,6,65.07,845,15
P0075,Product_75,Supplier A,Miami,1295,2238,22,272.89,317,8
P0076,Product_76,Supplier B,Los Angeles,5680,3595,19,187.4,744,11
P0077,Product_77,Supplier A,New York,5265,849,8,230.98,827,8
P0078,Product_78,Supplier B,Los Angeles,3767,971,28,484.66,592,12
P0079,Product_79,Supplier D,New York,6937,3639,6,322.45,675,3
P0080,Product_80,Supplier B,New York,2168,4782,23,349.83,524,1
P0081,Product_81,Supplier B,Houston,1303,1721,28,231.82,119,2
P0082,Product_82,Supplier A,Miami,6133,3111,19,326.46,549,4
P0083,Product_83,Supplier B,Los Angeles,5243,3534,28,497.05,849,15
P0084,Product_84,Supplier C,New York,2590,2604,26,175.62,172,3
P0085,Product_85,Supplier C,Houston,7075,667,3,326.17,525,5
P0086,Product_86,Supplier B,Chicago,5219,4153,28,220.64,68,10
P0087,Product_87,Supplier B,Los Angeles,3026,4956,5,346.63,462,12
P0088,Product_88,Supplier C,Chicago,7123,1163,23,80.07,459,15
P0089,Product_89,Supplier B,Miami,5677,2506,7,417.73,124,5
P0090,Product_90,Supplier B,Chicago,2464,4833,15,450.74,971,2
P0091,Product_91,Supplier B,Los Angeles,600,2116,3,278.43,469,12
P0092,Product_92,Supplier B,Chicago,4727,1436,8,116.33,300,14
P0093,Product_93,Supplier D,Houston,3443,4264,24,242.93,112,9
P0094,Product_94,Supplier A,Miami,8740,2326,17,472.4,554,8
P0095,Product_95,Supplier D,Los Angeles,8432,3945,17,173.51,819,13
P0096,Product_96,Supplier C,Los Angeles,9734,3271,8,258.48,694,5
P0097,Product_97,Supplier B,New York,5799,4805,17,495.49,894,5
P0098,Product_98,Supplier A,New York,8241,12,17,212.02,783,5
P0099,Product_99,Supplier C,Los Angeles,9773,3567,5,328.57,186,1
P0100,Product_100,Supplier A,New York,9723,2763,2,384.98,230,15
P0101,Product_101,Supplier D,Chicago,5470,64,20,270.22,246,14
P0102,Product_102,Supplier B,Chicago,2265,2491,3,333.13,718,10
P0103,Product_103,Supplier D,Los Angeles,3505,775,26,242.27,167,8
P0104,Product_104,Supplier D,Chicago,6293,2846,13,483.86,366,7
P0105,Product_105,Supplier A,New York,4872,2152,19,395.7,861,10
P0106,Product_106,Supplier A,New York,5566,4775,18,427.56,168,14
P0107,Product_107,Supplier C,Houston,5349,698,26,209.31,487,2
P0108,Product_108,Supplier D,Los Angeles,6593,861,29,372.33,584,7
P0109,Product_109,Supplier A,Miami,2198,3839,5,465.96,992,3
P0110,Product_110,Supplier D,New York,8604,3046,23,236.03,380,11
P0111,Product_111,Supplier A,Los Angeles,3927,4350,24,440.3,961,7
P0112,Product_112,Supplier A,Miami,622,3745,17,393.91,255,12
P0113,Product_113,Supplier D,New York,9201,3539,2,193.89,472,4
P0114,Product_114,Supplier B,Houston,626,3030,24,173.99,926,14
P0115,Product_115,Supplier A,Los Angeles,9219,4084,26,409.01,425,2
P0116,Product_116,Supplier B,Chicago,2824,1058,22,299.27,287,7
P0117,Product_117,Supplier B,Chicago,4591,3843,20,320.76,823,1
P0118,Product_118,Supplier D,New York,3389,2112,16,306.3,218,8
P0119,Product_119,Supplier B,New York,7181,1975,18,358.44,848,13
P0120,Product_120,Supplier B,Los Angeles,9975,2053,6,374.11,880,8
P0121,Product_121,Supplier D,Los Angeles,1945,798,8,170.18,515,6
P0122,Product_122,Supplier B,Los Angeles,5506,4847,30,261.18,639,2
P0123,Product_123,Supplier B,New York,8139,4001,2,99.09,611,8
P0124,Product_124,Supplier B,Chicago,6048,4067,7,233.88,356,9
P0125,Product_125,Supplier B,Chicago,5242,1009,3,76.09,431,3
P0126,Product_126,Supplier B,Miami,9452,189,18,217.59,632,10
P0127,Product_127,Supplier A,New York,3463,3661,16,487.72,541,10
P0128,Product_128,Supplier A,Los Angeles,3763,1317,22,418.48,711,5
P0129,Product_129,Supplier A,Los Angeles,7884,366,10,325.16,509,14
P0130,Product_130,Supplier C,Los Angeles,5788,1947,23,369.52,259,3
P0131,Product_131,Supplier C,Chicago,6503,4859,10,238.77,490,1
P0132,Product_132,Supplier C,Chicago,156,1120,25,315.29,854,1
P0133,Product_133,Supplier D,Chicago,3674,4363,19,304.07,850,9
P0134,Product_134,Supplier A,Houston,5056,1586,3,307.03,378,10
P0135,Product_135,Supplier D,Chicago,9785,976,11,453.1,405,4
P0136,Product_136,Supplier C,Los Angeles,2583,233,22,140.99,880,13
P0137,Product_137,Supplier A,Miami,2461,183,28,90.87,362,3
P0138,Product_138,Supplier A,Houston,3048,3192,21,124.84,769,9
P0139,Product_139,Supplier A,Los Angeles,6584,3121,16,133.38,270,10
P0140,Product_140,Supplier C,Los Angeles,226,4790,3,136.62,603,8
P0141,Product_141,Supplier B,New York,8422,91,13,88.49,560,9
P0142,Product_142,Supplier C,Houston,8708,853,12,224.31,426,13
P0143,Product_143,Supplier D,New York,3573,2568,10,80.53,871,11
P0144,Product_144,Supplier C,Houston,6988,860,20,481.76,901,7
P0145,Product_145,Supplier A,Miami,1749,1708,8,392.8,598,12
P0146,Product_146,Supplier A,Miami,8238,421,27,387.54,379,8
P0147,Product_147,Supplier C,Houston,519,4764,20,226.36,144,4
P0148,Product_148,Supplier D,Chicago,3830,573,28,487.43,321,5
P0149,Product_149,Supplier B,Miami,7583,3580,19,73.91,340,7
P0150,Product_150,Supplier A,Chicago,3352,2260,9,143.28,855,13
P0151,Product_151,Supplier C,Los Angeles,9477,3963,14,369.3,805,4
P0152,Product_152,Supplier D,New York,2153,4938,5,74.97,737,10
P0153,Product_153,Supplier B,Houston,2096,4540,13,391.39,634,13
P0154,Product_154,Supplier A,Los Angeles,4102,2756,13,258.0,272,15
P0155,Product_155,Supplier C,Houston,9025,3856,5,380.82,344,12
P0156,Product_156,Supplier A,Chicago,5871,3506,20,240.56,80,5
P0157,Product_157,Supplier C,Los Angeles,3207,4825,29,88.63,330,15
P0158,Product_158,Supplier D,Chicago,7079,4991,25,291.07,156,3
P0159,Product_159,Supplier B,New York,628,1428,3,276.01,620,5
P0160,Product_160,Supplier D,Miami,8789,3432,13,124.79,824,1
P0161,Product_161,Supplier C,New York,3531,4212,25,319.32,283,10
P0162,Product_162,Supplier C,Chicago,465,4655,9,378.01,904,13
P0163,Product_163,Supplier C,Miami,6403,2379,12,315.59,159,9
P0164,Product_164,Supplier B,New York,1032,4427,28,160.86,924,6
P0165,Product_165,Supplier C,New York,7501,901,24,303.47,301,5
P0166,Product_166,Supplier B,New York,3277,1212,29,130.1,780,7
P0167,Product_167,Supplier A,Miami,3596,3117,28,438.26,241,11
P0168,Product_168,Supplier B,Chicago,7216,3579,19,161.4,923,1
P0169,Product_169,Supplier A,Miami,6578,1126,26,90.99,708,2
P0170,Product_170,Supplier A,New York,376,840,14,383.33,507,8
P0171,Product_171,Supplier B,New York,8208,3555,14,482.71,449,6
P0172,Product_172,Supplier B,New York,3097,332,7,308.89,787,1
P0173,Product_173,Supplier C,Houston,816,4794,15,491.04,763,6
P0174,Product_174,Supplier D,Los Angeles,8658,3762,28,184.25,882,2
P0175,Product_175,Supplier C,Houston,8736,2256,28,420.55,65,7
P0176,Product_176,Supplier D,New York,4487,3627,12,382.95,285,4
P0177,Product_177,Supplier A,Chicago,6290,2459,16,137.77,385,1
P0178,Product_178,Supplier D,Chicago,671,4030,26,381.11,683,10
P0179,Product_179,Supplier D,New York,2086,4303,8,317.92,397,6
P0180,Product_180,Supplier D,Los Angeles,7398,2787,15,237.69,812,5
P0181,Product_181,Supplier D,Houston,9936,2757,26,452.06,749,2
P0182,Product_182,Supplier B,Los Angeles,9257,4757,15,105.25,72,6
P0183,Product_183,Supplier C,Los Angeles,6964,3599,2,106.9,149,8
P0184,Product_184,Supplier D,Miami,3313,4843,16,243.81,243,1
P0185,Product_185,Supplier A,Miami,2408,2243,10,442.73,998,14
P0186,Product_186,Supplier B,Houston,2294,3230,4,339.49,553,6
P0187,Product_187,Supplier D,Los Angeles,1286,1831,16,337.26,738,14
P0188,Product_188,Supplier A,Houston,6012,4872,16,160.56,997,15
P0189,Product_189,Supplier B,Los Angeles,3312,3019,16,57.21,132,3
P0190,Product_190,Supplier A,Los Angeles,4466,3344,27,249.43,864,6
P0191,Product_191,Supplier A,New York,6853,1706,16,354.65,697,8
P0192,Product_192,Supplier A,Houston,4012,4896,5,488.0,369,3
P0193,Product_193,Supplier A,Houston,4840,2178,30,370.58,772,5
P0194,Product_194,Supplier B,Houston,3604,3187,7,467.83,213,9
P0195,Product_195,Supplier C,Miami,1591,4082,4,404.41,638,4
P0196,Product_196,Supplier A,New York,9909,4749,18,117.9,464,9
P0197,Product_197,Supplier C,Miami,8999,2673,7,358.96,699,9
P0198,Product_198,Supplier B,Miami,4116,1783,4,152.85,473,6
P0199,Product_199,Supplier D,Chicago,262,1134,10,433.38,531,15
P0200,Product_200,Supplier A,Houston,2016,527,9,54.96,115,3
P0201,Product_201,Supplier B,Chicago,2867,3669,17,51.41,932,10
P0202,Product_202,Supplier A,Los Angeles,8849,4144,20,196.84,171,1
P0203,Product_203,Supplier D,Los Angeles,3563,1463,21,263.68,331,9
P0204,Product_204,Supplier A,New York,5373,201,20,95.28,722,10
P0205,Product_205,Supplier A,Chicago,3461,1686,11,365.4,932,6
P0206,Product_206,Supplier A,Los Angeles,4410,2254,9,94.42,360,12
P0207,Product_207,Supplier D,Chicago,4651,189,4,372.93,915,7
P0208,Product_208,Supplier A,New York,9032,1882,8,403.56,666,4
P0209,Product_209,Supplier C,Chicago,5072,3706,21,353.7,263,14
P0210,Product_210,Supplier D,Los Angeles,9835,4853,19,411.81,752,2
P0211,Product_211,Supplier D,Miami,2864,127,17,484.1,386,9
P0212,Product_212,Supplier C,New York,7893,3915,3,403.98,368,1
P0213,Product_213,Supplier A,Chicago,6285,1593,10,445.63,996,12
P0214,Product_214,Supplier A,Houston,6723,3652,25,483.93,474,2
P0215,Product_215,Supplier C,Chicago,2843,4783,25,369.8,241,4
P0216,Product_216,Supplier D,New York,1304,2491,5,438.57,724,13
P0217,Product_217,Supplier A,Los Angeles,109,3087,30,439.98,143,3
P0218,Product_218,Supplier C,Miami,6765,1265,17,122.57,721,12
P0219,Product_219,Supplier A,Chicago,8218,4802,4,57.12,653,14
P0220,Product_220,Supplier C,Houston,2194,1979,20,269.4,57,15
P0221,Product_221,Supplier C,Miami,1357,105,6,441.95,647,13
P0222,Product_222,Supplier D,Miami,1647,1032,9,126.38,255,5
P0223,Product_223,Supplier C,New York,704,3672,15,210.89,275,3
P0224,Product_224,Supplier D,Miami,6357,2015,3,88.08,534,5
P0225,Product_225,Supplier B,Los Angeles,6918,4544,28,256.36,379,7
P0226,Product_226,Supplier D,Miami,8469,4180,30,153.98,744,15
P0227,Product_227,Supplier C,Chicago,6610,1108,25,453.16,296,15
P0228,Product_228,Supplier D,Chicago,4020,1083,26,309.41,331,15
P0229,Product_229,Supplier D,New York,4784,4715,27,497.34,348,1
P0230,Product_230,Supplier C,Miami,9659,1510,21,174.5,577,12
P0231,Product_231,Supplier C,Los Angeles,4822,3128,25,71.13,496,8
P0232,Product_232,Supplier B,Miami,2648,567,20,482.77,114,11
P0233,Product_233,Supplier D,New York,7531,14,5,143.33,194,12
P0234,Product_234,Supplier B,Los Angeles,4948,1422,30,307.29,952,11
P0235,Product_235,Supplier D,Miami,3799,1479,15,53.74,539,15
P0236,Product_236,Supplier B,Los Angeles,1045,3035,11,51.75,237,1
P0237,Product_237,Supplier C,New York,2339,4057,21,219.88,108,3
P0238,Product_238,Supplier B,New York,3256,372,14,439.76,535,1
P0239,Product_239,Supplier C,Houston,1992,1562,22,279.16,234,5
P0240,Product_240,Supplier B,New York,6181,581,2,461.85,968,6
P0241,Product_241,Supplier D,Los Angeles,2385,4012,22,306.04,213,6
P0242,Product_242,Supplier D,Los Angeles,1790,3194,30,50.14,333,11
P0243,Product_243,Supplier B,Chicago,5263,444,18,157.84,360,10
P0244,Product_244,Supplier B,Chicago,814,501,24,72.63,193,11
P0245,Product_245,Supplier B,Houston,7645,373,13,363.16,952,3
P0246,Product_246,Supplier B,New York,1365,4085,20,150.07,371,6
P0247,Product_247,Supplier B,Miami,8785,2966,12,287.29,716,3
P0248,Product_248,Supplier C,Houston,867,1120,20,148.67,190,6
P0249,Product_249,Supplier A,New York,7760,3653,22,67.78,992,13
P0250,Product_250,Supplier B,Los Angeles,2891,3348,10,337.35,603,13
P0251,Product_251,Supplier B,Chicago,2058,1030,13,473.03,419,15
P0252,Product_252,Supplier D,Houston,7371,3003,20,375.01,981,12
P0253,Product_253,Supplier C,Miami,4379,3241,26,278.54,807,15
P0254,Product_254,Supplier C,Miami,5539,1863,7,100.66,601,10
P0255,Product_255,Supplier A,Houston,6894,4525,21,425.59,281,4
P0256,Product_256,Supplier B,New York,9202,4269,22,473.64,254,4
P0257,Product_257,Supplier A,Houston,4393,3342,26,283.05,690,1
P0258,Product_258,Supplier B,New York,5988,2810,15,147.4,246,15
P0259,Product_259,Supplier B,Miami,9282,4867,6,253.44,327,15
P0260,Product_260,Supplier A,New York,6646,679,29,248.12,931,2
P0261,Product_261,Supplier C,Chicago,3624,1527,16,472.55,644,8
P0262,Product_262,Supplier B,Houston,8590,1958,15,135.96,613,4
P0263,Product_263,Supplier C,Miami,4665,1288,8,101.75,64,8
P0264,Product_264,Supplier B,New York,2148,4637,6,106.18,917,5
